neighborhood,property_type,bedrooms,bathrooms,size_sqft,age_years,distance_to_cbd_km,has_parking,has_garden,has_pool,gated_community,security_score,price_kes
Westlands,Maisonette,6,6,2169,14,7.8,1,0,0,1,2,42879000.0
Nyayo Estate,Townhouse,3,3,1404,15,22.7,1,0,0,1,2,14358000.0
Kileleshwa,Apartment,3,3,941,27,4.5,1,0,0,1,1,13777000.0
Loresho,Apartment,4,3,1470,1,16.2,0,0,0,1,3,24469000.0
Nyayo Estate,Apartment,3,3,996,21,14.9,0,0,0,0,1,8644000.0
Ruaka,Apartment,4,3,1624,4,16.6,1,0,0,1,5,13942000.0
Kasarani,Apartment,2,1,802,7,13.8,0,0,0,1,2,5158000.0
Kikuyu,Maisonette,3,2,1558,29,31.9,1,1,0,1,5,8288000.0
Kasarani,Maisonette,3,2,1347,17,12.8,1,1,0,0,1,8312000.0
Rongai,Maisonette,2,2,1042,9,24.7,1,1,0,0,5,6070000.0
South C,Apartment,3,3,1136,14,7.5,1,0,0,1,3,12187000.0
Ruiru,Townhouse,2,2,799,20,22.2,1,0,0,1,4,3606000.0
Langata,Apartment,2,2,672,14,8.0,1,0,0,1,5,8152000.0
Donholm,Apartment,4,3,1218,23,14.8,1,0,0,1,2,8740000.0
Nyayo Estate,Maisonette,4,4,1252,17,21.3,1,0,0,1,2,8850000.0
Kilimani,Apartment,2,2,1026,2,12.3,1,0,0,1,2,20649000.0
South B,Apartment,2,2,990,25,6.6,1,0,0,0,1,8538000.0
Karen,Apartment,2,2,965,29,5.6,1,0,0,1,3,16216000.0
Kitisuru,Villa,5,5,2412,10,7.2,1,0,0,1,3,58550000.0
Kileleshwa,Apartment,4,4,1450,11,4.3,0,0,0,1,5,26512000.0
South C,Apartment,1,1,568,9,23.0,1,0,0,1,4,6277000.0
Karen,Apartment,1,1,770,2,2.7,1,0,1,1,4,22968000.0
Upperhill,Villa,2,2,1113,7,10.8,1,1,1,0,3,21516000.0
Ruiru,Townhouse,5,5,2199,7,29.1,1,0,0,1,3,11641000.0
Nyayo Estate,Townhouse,2,2,1211,1,18.1,1,0,0,0,3,11360000.0
Kilimani,Bungalow,3,3,1485,29,13.2,1,1,0,0,5,21591000.0
Kitisuru,Townhouse,4,3,1556,0,6.4,1,0,0,1,5,36900000.0
Kileleshwa,Apartment,2,1,926,18,15.1,1,0,0,1,3,12340000.0
Spring Valley,Apartment,2,2,756,25,8.0,1,0,0,1,4,16062000.0
South B,Townhouse,3,2,1049,27,16.0,1,0,0,0,3,8469000.0
Kikuyu,Maisonette,2,2,924,25,35.8,1,0,0,0,4,4067000.0
Athi River,Apartment,2,2,920,1,27.6,1,0,0,1,3,3736000.0
South B,Maisonette,2,2,874,19,17.7,1,1,0,1,4,8077000.0
Umoja,Townhouse,2,1,873,27,15.9,1,0,0,0,1,3894000.0
Kasarani,Apartment,5,5,1194,28,14.3,1,0,0,1,1,7205000.0
Langata,Bungalow,3,3,1362,18,0.5,0,0,0,1,3,13927000.0
Langata,Apartment,4,3,1169,17,10.3,1,0,0,0,3,13419000.0
Kahawa,Townhouse,2,2,930,7,29.9,0,0,0,0,3,3975000.0
Ngong Road,Maisonette,1,1,530,22,13.2,1,1,0,1,3,6111000.0
Spring Valley,Maisonette,2,2,845,29,12.2,1,1,0,1,4,15718000.0
Donholm,Apartment,3,2,1066,1,10.9,0,0,0,1,4,8938000.0
Thika Road,Apartment,2,2,843,5,13.9,0,0,0,1,2,5517000.0
Kikuyu,Apartment,5,4,1649,7,26.6,1,0,0,1,1,7708000.0
Thika Road,Apartment,4,4,1397,0,18.2,0,0,0,1,2,10518000.0
Ruiru,Apartment,3,3,1051,14,16.2,1,0,0,0,4,5101000.0
Upperhill,Maisonette,5,5,1624,8,19.4,0,1,0,1,2,25402000.0
Umoja,Maisonette,3,3,1176,1,19.9,1,1,0,1,1,7001000.0
Ngong Road,Apartment,1,1,626,16,18.0,1,0,0,1,1,6417000.0
Ruiru,Villa,5,5,2428,9,18.7,1,0,0,1,3,15617000.0
Embakasi,Apartment,3,2,1289,6,6.4,0,0,0,1,3,8201000.0
Muthaiga,Bungalow,2,1,1605,11,12.2,1,1,0,1,5,41497000.0
Spring Valley,Maisonette,3,3,1112,2,1.2,0,0,0,0,5,27056000.0
South B,Villa,4,4,1658,6,22.3,0,1,0,0,2,15007000.0
Kitisuru,Bungalow,3,3,1433,3,1.6,1,1,1,0,3,38312000.0
Kileleshwa,Villa,3,2,1500,12,6.3,1,1,0,1,1,24160000.0
Loresho,Villa,6,6,3078,29,6.0,1,1,0,1,5,49063000.0
Loresho,Maisonette,4,4,1136,23,5.8,1,1,0,1,1,16192000.0
Nyayo Estate,Townhouse,3,3,878,7,7.3,1,0,0,0,2,8048000.0
Donholm,Apartment,5,5,1628,18,15.2,1,0,0,1,5,13352000.0
Karen,Maisonette,4,3,1651,24,8.3,1,0,0,0,5,34130000.0
Dagoretti,Maisonette,1,1,551,12,14.7,1,1,0,1,1,4415000.0
Kileleshwa,Apartment,3,3,1022,29,9.4,0,0,0,1,2,15354000.0
Dagoretti,Bungalow,4,4,1440,3,14.9,1,0,0,1,1,11841000.0
Kikuyu,Townhouse,1,1,577,28,25.0,1,0,0,0,1,2372000.0
Kasarani,Apartment,1,1,394,1,15.3,1,0,0,1,4,2497000.0
Runda,Maisonette,2,2,658,25,2.5,1,0,0,0,1,14704000.0
South B,Apartment,6,6,2299,16,21.8,0,0,0,1,4,16893000.0
Ruaka,Maisonette,6,6,2529,19,22.5,1,0,0,1,5,23039000.0
Upperhill,Villa,2,2,1026,29,5.6,1,0,0,1,1,12187000.0
Kileleshwa,Bungalow,4,4,1882,14,3.8,1,1,0,1,2,32362000.0
Loresho,Apartment,1,1,501,21,12.0,1,0,0,0,4,6107000.0
Donholm,Villa,2,1,1428,8,24.6,1,1,0,1,4,11298000.0
Kilimani,Townhouse,3,3,1094,21,18.3,1,0,0,0,4,15108000.0
Ngong Road,Townhouse,3,2,1127,12,1.4,0,0,0,1,3,11857000.0
Rongai,Villa,3,3,1755,2,19.4,1,1,0,0,5,9969000.0
Thika Road,Bungalow,3,3,1139,20,28.8,1,1,0,1,4,6283000.0
Kasarani,Apartment,2,2,749,17,28.3,0,0,0,1,2,3996000.0
South B,Apartment,3,3,1054,21,10.0,1,0,0,1,1,8875000.0
Donholm,Apartment,6,6,1903,4,17.7,1,0,0,1,3,14993000.0
Spring Valley,Apartment,2,2,941,0,4.7,1,0,0,1,1,18149000.0
Athi River,Townhouse,2,2,862,16,29.2,1,0,0,1,4,3777000.0
Ruiru,Apartment,2,2,908,28,25.3,1,0,0,0,5,3762000.0
Donholm,Townhouse,3,3,1270,17,18.3,1,0,0,1,3,9179000.0
Umoja,Apartment,3,3,1081,7,22.0,1,0,0,0,5,6884000.0
Kikuyu,Apartment,3,2,1045,10,22.9,1,0,0,1,1,6206000.0
South B,Apartment,4,3,1446,13,14.3,1,0,0,1,2,12417000.0
Westlands,Apartment,4,3,1236,12,9.2,1,0,1,1,4,27830000.0
Westlands,Apartment,5,4,1762,0,5.5,0,0,0,0,1,28005000.0
Ruaka,Apartment,3,3,807,16,13.5,1,0,0,0,2,6347000.0
Runda,Apartment,2,1,512,20,16.8,1,0,0,0,5,10965000.0
Upperhill,Bungalow,4,3,1387,26,14.5,1,1,0,1,4,22276000.0
Upperhill,Apartment,2,2,762,3,5.8,1,0,0,0,4,11318000.0
Kitisuru,Bungalow,3,2,1576,25,5.3,1,0,0,1,1,31099000.0
Spring Valley,Apartment,5,5,1688,14,0.5,1,0,0,1,4,32915000.0
Spring Valley,Apartment,2,1,738,23,0.9,1,0,0,1,4,12758000.0
Kilimani,Townhouse,1,1,840,14,1.7,1,0,1,1,5,18128000.0
Upperhill,Apartment,3,3,1332,29,5.7,1,0,0,1,5,20363000.0
Kilimani,Bungalow,1,1,834,5,13.9,1,0,0,0,1,11058000.0
Karen,Apartment,2,2,1013,16,8.2,0,0,0,0,2,22154000.0
Muthaiga,Apartment,2,2,904,1,15.3,1,0,0,1,2,20133000.0
Embakasi,Apartment,3,2,1172,11,26.6,1,0,0,1,5,6559000.0
Ngong Road,Apartment,2,1,828,24,15.4,1,0,0,0,2,7971000.0
Ruaka,Maisonette,4,3,1544,13,13.5,1,0,0,0,1,11766000.0
Loresho,Apartment,4,4,1412,14,6.2,1,0,0,1,2,17266000.0
Westlands,Maisonette,3,2,1195,29,4.0,1,1,0,0,3,19799000.0
Runda,Apartment,5,5,1604,28,8.9,1,0,1,1,5,43727000.0
Westlands,Apartment,2,2,805,1,0.5,0,0,1,0,4,16639000.0
South C,Villa,4,4,1851,22,11.9,0,0,0,1,2,16897000.0
Umoja,Apartment,3,2,833,18,17.9,0,0,0,1,1,4680000.0
Kitisuru,Townhouse,2,2,829,3,3.5,1,0,0,0,4,22073000.0
Muthaiga,Apartment,3,2,901,4,7.6,1,0,0,1,5,23646000.0
Spring Valley,Bungalow,2,1,1297,12,4.7,1,1,1,1,3,29862000.0
Ruaka,Maisonette,1,1,506,3,13.1,1,1,0,1,5,5163000.0
Westlands,Apartment,5,5,1644,8,3.8,1,0,0,0,2,29652000.0
Kileleshwa,Apartment,3,2,1096,26,0.8,1,0,0,1,5,17051000.0
Kasarani,Apartment,6,6,2044,18,27.6,0,0,0,0,5,8753000.0
Langata,Villa,6,5,2608,18,9.3,0,1,0,1,2,28811000.0
Westlands,Apartment,3,2,961,8,11.0,1,0,0,0,4,17496000.0
Thika Road,Apartment,5,5,1864,3,26.0,1,0,0,1,4,15233000.0
Runda,Apartment,2,1,746,26,0.5,1,0,0,0,4,16214000.0
Kasarani,Maisonette,3,3,1131,29,20.6,1,1,0,1,4,6383000.0
Upperhill,Apartment,4,4,1666,1,9.4,0,0,0,1,3,29010000.0
Kikuyu,Apartment,3,3,920,21,32.1,1,0,0,1,5,4730000.0
Nyayo Estate,Apartment,3,2,1158,3,15.3,0,0,0,1,2,9801000.0
Ruaka,Bungalow,3,3,1728,8,18.4,1,1,0,1,4,13116000.0
Donholm,Apartment,4,3,1547,22,21.6,1,0,0,1,2,9343000.0
Roysambu,Maisonette,2,2,624,5,27.2,0,1,0,1,1,3738000.0
South C,Apartment,3,3,980,15,14.0,1,0,0,1,2,10674000.0
Buruburu,Maisonette,3,3,1469,21,22.0,1,0,0,1,3,10997000.0
Embakasi,Apartment,2,1,741,16,13.4,1,0,0,1,3,4270000.0
Karen,Apartment,3,2,1241,26,10.0,1,0,0,1,2,27160000.0
Umoja,Apartment,4,4,1656,26,25.1,1,0,0,1,2,8205000.0
Lavington,Maisonette,2,1,982,9,7.6,1,0,1,1,1,21093000.0
Kitisuru,Bungalow,2,1,1205,23,3.1,1,0,0,0,4,22586000.0
Langata,Apartment,2,1,702,9,9.1,0,0,0,1,3,8351000.0
Roysambu,Townhouse,3,3,1381,5,15.1,1,0,0,0,3,9492000.0
Kilimani,Apartment,4,3,1425,13,11.9,0,0,0,1,1,19969000.0
Ruaka,Townhouse,2,2,852,9,12.3,0,0,0,1,1,6468000.0
Runda,Apartment,3,2,1081,16,1.2,1,0,0,0,2,25589000.0
Kikuyu,Maisonette,3,3,1506,21,17.9,1,1,0,0,3,7295000.0
Donholm,Apartment,2,2,812,3,18.3,1,0,0,1,4,7038000.0
Buruburu,Apartment,5,5,1662,1,24.6,0,0,0,1,4,13064000.0
Westlands,Apartment,3,3,1584,10,8.1,1,0,1,1,5,29458000.0
Kileleshwa,Maisonette,3,2,972,19,8.9,1,0,0,1,5,15121000.0
Kileleshwa,Apartment,3,3,1149,7,9.8,0,0,0,1,3,19714000.0
Loresho,Maisonette,3,2,1237,20,8.6,1,0,0,1,2,15756000.0
Ruiru,Bungalow,1,1,757,19,21.0,1,1,0,1,3,3825000.0
Buruburu,Apartment,3,2,730,1,13.6,1,0,0,1,2,5731000.0
Thika Road,Apartment,2,2,782,8,14.8,1,0,0,1,1,5528000.0
Lavington,Maisonette,4,4,1400,23,3.4,0,0,1,0,3,27561000.0
Westlands,Apartment,1,1,732,20,10.1,1,0,1,1,5,14008000.0
Nyayo Estate,Apartment,5,4,1347,23,14.4,1,0,0,0,5,9851000.0
Dagoretti,Maisonette,3,3,1341,7,17.4,1,1,0,0,3,11178000.0
Muthaiga,Bungalow,4,4,2082,27,2.9,1,1,0,0,4,47390000.0
Karen,Apartment,2,2,776,2,9.5,1,0,0,1,2,17326000.0
Loresho,Apartment,2,1,888,29,20.1,1,0,0,0,3,11018000.0
Ruaka,Apartment,1,1,509,2,23.6,1,0,0,0,3,4032000.0
Donholm,Apartment,5,5,1453,21,18.9,1,0,0,1,1,8940000.0
Kikuyu,Townhouse,3,3,1106,28,30.1,0,0,0,0,4,5121000.0
South C,Villa,2,2,1198,7,12.9,1,0,0,0,1,11251000.0
Ruiru,Apartment,2,1,761,28,36.5,1,0,0,1,4,2898000.0
Rongai,Townhouse,3,2,1103,6,25.3,1,0,0,1,2,6453000.0
Loresho,Maisonette,2,1,885,20,9.3,1,1,0,1,3,10725000.0
Upperhill,Apartment,2,2,597,7,0.5,1,0,0,1,1,10128000.0
South C,Maisonette,1,1,644,17,11.7,1,0,0,0,4,5510000.0
Kileleshwa,Bungalow,1,1,848,28,7.5,1,0,0,1,2,10773000.0
Loresho,Townhouse,4,3,1472,26,9.9,1,0,0,1,2,22684000.0
Donholm,Bungalow,3,3,1446,4,13.8,0,1,0,0,1,10192000.0
Upperhill,Apartment,3,3,967,20,9.2,1,0,0,1,4,17343000.0
Nyayo Estate,Bungalow,1,1,778,23,11.9,1,0,0,1,4,6885000.0
Spring Valley,Townhouse,3,3,1267,26,0.5,1,0,0,1,4,21935000.0
Rongai,Villa,3,2,1477,23,15.7,1,1,0,0,2,7167000.0
Umoja,Apartment,2,2,775,9,21.0,1,0,0,1,4,4714000.0
Loresho,Villa,2,1,875,15,1.4,1,1,0,1,5,16298000.0
Ruiru,Maisonette,2,1,944,12,18.7,1,1,0,0,4,4336000.0
Rongai,Villa,2,1,1245,2,18.2,1,1,0,1,2,8873000.0
Kileleshwa,Apartment,3,3,1025,18,9.6,1,0,0,1,4,14915000.0
Kikuyu,Apartment,4,4,1191,13,27.4,0,0,0,1,3,6211000.0
South B,Bungalow,3,3,1481,3,9.1,1,0,0,1,1,14128000.0
Kasarani,Townhouse,4,3,1733,14,19.7,1,0,0,1,1,8588000.0
Kileleshwa,Apartment,5,5,1803,12,12.8,1,0,0,0,3,29457000.0
Kikuyu,Apartment,3,2,986,2,28.1,1,0,0,1,3,5099000.0
Kilimani,Apartment,2,1,924,14,10.0,1,0,0,1,4,14651000.0
Muthaiga,Townhouse,1,1,615,29,1.8,0,0,0,1,4,15237000.0
South C,Villa,3,3,1637,7,12.4,0,1,0,1,4,15377000.0
Runda,Apartment,4,3,1488,28,4.4,1,0,1,1,5,44335000.0
Donholm,Bungalow,4,4,1706,3,14.4,1,0,0,1,4,14027000.0
Ruaka,Maisonette,3,3,1260,17,12.5,1,0,0,1,2,9723000.0
Donholm,Apartment,1,1,647,25,21.1,1,0,0,1,1,4405000.0
Westlands,Apartment,4,4,1269,18,3.6,1,0,1,1,2,24548000.0
Donholm,Apartment,5,4,1798,16,17.3,1,0,0,1,2,14642000.0
Nyayo Estate,Apartment,4,3,1341,29,14.6,1,0,0,1,3,11010000.0
Lavington,Apartment,3,2,1093,2,0.5,1,0,0,0,1,21356000.0
South C,Apartment,4,3,1446,10,7.3,1,0,0,1,4,16871000.0
Runda,Apartment,5,5,1954,2,10.7,1,0,0,0,4,45767000.0
Ruaka,Apartment,2,2,824,11,10.0,0,0,0,1,5,6492000.0
Kikuyu,Bungalow,5,5,1815,2,27.0,1,0,0,1,4,8499000.0
Thika Road,Apartment,3,3,1186,7,22.3,0,0,0,1,5,8035000.0
Loresho,Apartment,2,2,734,20,15.0,1,0,0,1,4,9634000.0
Embakasi,Townhouse,3,3,1254,10,23.8,1,0,0,1,5,7052000.0
Muthaiga,Bungalow,5,4,1916,12,4.7,0,1,1,1,4,62366000.0
Umoja,Townhouse,3,2,1308,6,17.1,0,0,0,1,2,6935000.0
South C,Maisonette,3,3,1022,27,18.7,1,0,0,1,1,8982000.0
Nyayo Estate,Apartment,3,2,1070,8,17.5,1,0,0,0,2,10163000.0
Kahawa,Villa,6,5,2238,29,24.1,1,1,0,0,5,11352000.0
Kileleshwa,Apartment,1,1,530,5,11.3,0,0,0,1,4,8562000.0
Upperhill,Apartment,5,5,1653,5,8.7,0,0,1,1,2,32034000.0
Donholm,Villa,3,2,1344,7,20.1,1,0,0,0,3,8489000.0
Rongai,Bungalow,4,3,1968,4,15.2,1,1,0,1,3,13680000.0
Kikuyu,Apartment,1,1,499,8,24.8,0,0,0,1,2,2366000.0
Roysambu,Apartment,1,1,679,6,9.4,1,0,0,0,4,5127000.0
Ruaka,Apartment,3,3,1073,10,10.2,1,0,0,0,1,8957000.0
South C,Apartment,3,2,1041,23,15.8,1,0,0,0,4,11011000.0
Kilimani,Maisonette,5,4,2120,9,5.9,1,1,0,0,3,36284000.0
Langata,Apartment,1,1,574,4,7.0,1,0,0,0,4,6651000.0
Runda,Maisonette,2,1,511,20,11.6,1,1,0,0,1,10405000.0
Spring Valley,Apartment,2,2,823,19,10.5,1,0,1,1,2,14215000.0
Dagoretti,Apartment,4,3,1232,26,10.1,1,0,0,1,5,8978000.0
Embakasi,Apartment,3,2,1094,26,20.7,1,0,0,1,1,5068000.0
Donholm,Townhouse,2,1,858,0,18.9,1,0,0,0,1,6343000.0
Ruiru,Maisonette,2,2,1046,28,22.9,1,0,0,0,4,4624000.0
Roysambu,Apartment,2,1,732,0,28.1,1,0,0,1,4,5226000.0
Umoja,Apartment,4,4,1492,13,13.8,1,0,0,1,1,8574000.0
Karen,Villa,1,1,870,12,7.9,1,1,1,0,3,19605000.0
Rongai,Maisonette,3,3,1009,13,27.0,1,1,0,0,4,6479000.0
Karen,Apartment,2,2,973,0,0.5,1,0,1,1,3,26554000.0
Loresho,Bungalow,2,2,1098,14,9.6,1,1,0,0,3,15939000.0
Kikuyu,Townhouse,6,6,2022,9,21.7,0,0,0,1,5,11731000.0
Umoja,Bungalow,3,3,1572,11,22.3,1,1,0,1,2,8794000.0
Westlands,Villa,3,3,1366,11,6.1,1,0,0,1,3,27261000.0
Loresho,Bungalow,3,3,1040,3,19.6,1,1,0,0,4,14510000.0
Runda,Apartment,1,1,620,8,4.5,1,0,1,1,5,20428000.0
Westlands,Villa,2,2,1257,21,11.1,0,1,1,1,3,22445000.0
Loresho,Apartment,6,6,2366,17,11.5,1,0,0,0,1,30070000.0
Dagoretti,Townhouse,3,3,855,15,19.6,1,0,0,1,5,6777000.0
Rongai,Apartment,3,2,1096,18,30.0,1,0,0,1,5,6413000.0
Donholm,Maisonette,5,4,2371,17,16.5,1,0,0,1,2,18577000.0
Kileleshwa,Apartment,3,2,994,24,0.5,1,0,0,1,5,15465000.0
Buruburu,Apartment,4,4,1317,17,20.4,0,0,0,1,1,8956000.0
Spring Valley,Villa,4,3,1780,3,13.5,1,0,0,1,1,29661000.0
Roysambu,Maisonette,4,4,1178,22,18.1,1,1,0,1,1,7783000.0
Donholm,Apartment,3,3,846,21,17.7,1,0,0,1,4,6080000.0
Athi River,Apartment,2,2,894,22,30.1,1,0,0,0,1,2970000.0
Ngong Road,Apartment,4,3,1076,0,11.8,1,0,0,1,2,14246000.0
Runda,Apartment,3,3,1366,22,1.3,1,0,0,1,3,31386000.0
Kahawa,Apartment,4,3,1155,9,33.6,0,0,0,1,3,6151000.0
Kahawa,Apartment,2,1,989,28,20.5,1,0,0,0,5,4098000.0
Thika Road,Maisonette,2,2,869,16,18.5,1,1,0,1,5,6833000.0
Buruburu,Maisonette,4,3,1690,23,18.5,1,1,0,0,1,11620000.0
Kilimani,Apartment,2,1,808,20,13.0,1,0,0,0,2,12263000.0
Kitisuru,Maisonette,3,2,789,17,12.0,1,1,0,0,3,15679000.0
Muthaiga,Apartment,2,2,745,19,0.5,0,0,0,1,3,17894000.0
Loresho,Apartment,4,3,1384,14,9.3,1,0,0,1,5,20713000.0
Dagoretti,Maisonette,3,3,1382,28,23.4,1,1,0,0,5,9451000.0
Muthaiga,Apartment,4,3,1186,20,0.5,1,0,0,0,3,28086000.0
Athi River,Apartment,2,2,821,14,31.8,1,0,0,1,2,3627000.0
Umoja,Villa,3,3,1394,24,21.9,1,0,0,0,4,7135000.0
Ruaka,Bungalow,2,2,1282,14,8.8,1,1,0,1,4,12648000.0
Karen,Apartment,1,1,636,5,10.4,1,0,0,1,1,14170000.0
Rongai,Apartment,3,2,1376,17,17.8,1,0,0,0,5,8134000.0
Spring Valley,Apartment,3,3,1169,15,2.1,0,0,0,1,3,21574000.0
Dagoretti,Apartment,3,3,1285,22,18.9,1,0,0,1,3,9549000.0
Kahawa,Townhouse,3,2,1308,18,33.8,1,0,0,0,3,5116000.0
Ngong Road,Villa,5,5,1705,18,12.2,1,1,0,1,2,20812000.0
Upperhill,Villa,4,4,2278,21,10.7,0,1,0,1,1,35282000.0
Kikuyu,Apartment,2,1,671,11,24.9,0,0,0,1,1,3133000.0
Roysambu,Bungalow,1,1,828,14,20.8,1,1,0,1,5,5939000.0
South C,Townhouse,4,3,1508,11,11.5,1,0,0,0,5,14205000.0
Roysambu,Maisonette,5,4,1711,6,21.0,1,0,0,1,1,11535000.0
Muthaiga,Apartment,2,1,1019,14,12.6,1,0,0,0,5,22415000.0
Umoja,Apartment,2,2,727,17,19.0,0,0,0,0,3,3670000.0
Lavington,Bungalow,6,6,2870,13,3.6,1,0,0,1,4,69063000.0
Kitisuru,Apartment,4,4,1097,5,5.8,1,0,0,1,5,25920000.0
Westlands,Maisonette,2,2,888,9,12.7,1,0,0,1,5,17164000.0
South B,Maisonette,4,4,1020,22,12.2,0,1,0,1,4,10337000.0
South B,Bungalow,3,3,1420,6,14.8,1,1,0,0,5,16355000.0
Buruburu,Apartment,3,3,1083,6,17.1,1,0,0,0,4,8442000.0
Ruaka,Apartment,2,2,752,28,19.2,1,0,0,1,1,5079000.0
Spring Valley,Apartment,1,1,635,28,4.5,1,0,0,0,2,10342000.0
Roysambu,Apartment,2,2,855,19,20.6,1,0,0,0,4,4310000.0
Donholm,Apartment,2,1,747,22,13.0,1,0,0,1,5,4992000.0
Donholm,Maisonette,4,3,1488,29,25.7,1,1,0,1,2,8802000.0
Kileleshwa,Apartment,3,3,893,11,5.1,0,0,0,1,4,14798000.0
Loresho,Maisonette,2,2,698,14,7.3,1,1,0,1,3,10574000.0
Kileleshwa,Apartment,1,1,471,16,9.7,1,0,0,1,2,6247000.0
Westlands,Apartment,4,4,1180,10,11.2,1,0,0,0,3,22302000.0
Westlands,Bungalow,2,1,1428,22,8.3,1,1,0,1,2,28797000.0
Donholm,Bungalow,3,2,1245,7,11.3,1,1,0,0,1,9471000.0
South B,Apartment,2,1,796,23,10.4,1,0,0,0,2,5481000.0
Loresho,Bungalow,4,4,1576,1,17.6,1,0,0,1,4,27611000.0
Karen,Apartment,4,3,1103,20,11.9,0,0,0,1,5,23806000.0
Nyayo Estate,Villa,2,1,1334,25,22.7,1,1,0,0,4,9966000.0
Muthaiga,Townhouse,3,2,1224,17,8.9,0,0,0,1,2,27245000.0
South C,Apartment,2,2,644,26,15.3,1,0,0,1,4,6326000.0
South B,Apartment,2,2,858,28,11.3,1,0,0,0,2,6012000.0
Ruaka,Apartment,2,2,822,21,12.7,1,0,0,1,1,6664000.0
Spring Valley,Maisonette,4,4,1294,12,4.7,0,1,0,1,5,27706000.0
Westlands,Townhouse,2,2,1114,12,9.7,1,0,0,1,5,20810000.0
Athi River,Townhouse,5,5,1868,5,29.5,1,0,0,1,5,8299000.0
Kilimani,Apartment,2,1,841,16,10.3,1,0,0,1,2,13672000.0
Kahawa,Apartment,5,4,1676,2,19.7,1,0,0,1,4,7980000.0
Kileleshwa,Apartment,4,4,1085,12,6.9,1,0,0,0,3,15875000.0
Runda,Maisonette,5,4,1457,9,0.5,0,0,0,1,4,36573000.0
Runda,Maisonette,2,1,1074,13,6.1,0,1,0,1,2,22250000.0
Roysambu,Apartment,5,5,1609,9,18.3,1,0,0,0,3,11166000.0
Kikuyu,Apartment,3,2,1310,8,21.9,1,0,0,1,1,5872000.0
Loresho,Apartment,3,3,971,14,13.1,1,0,0,0,1,12946000.0
Spring Valley,Maisonette,1,1,729,1,15.4,0,0,1,1,1,14677000.0
